,SESSION_YEAR,COURSE_TITLE,COURSE_DESCRIPTION,FACULTY,SUBJECT_CODE,COURSE_NUMBER,SECTION_NUMBER,SECTION_TYPE,CREDITS,PRE_REQUISITE_DESCRIPTIONS,CO_PRE_REQUISITE_DESCRIPTIONS,TERM,DAYSMET,START_TIME,END_TIME,CAMPUS,BUILDING,ROOM_NUMBER,INSTRUCTORS,TOTAL_SEATS_REMAINING,CURRENTLY_REGISTERED,GENERAL_SEATS_REMAINING,RESTRICTED_SEATS_REMAINING
124138,2018W,RSRCH METHDLGY , ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,504,2,LEC,3,,,1,W,10:00 AM,1:00 PM,UBC,MCML,342,"WEARY, DANIEL",17,8,17,0
124140,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530A,1,DST,3,,,1,,,,UBC,,,,5,0,5,0
124143,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530B,1,DST,3,,,1,,,,UBC,,,,5,0,5,0
124146,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530C,1,DST,6,,,1,,,,UBC,,,,0,0,0,0
124149,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,530D,1,DST,2,,,1,,,,UBC,,,,5,0,5,0
124152,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,549A,1,THS,12,,,1,,,,UBC,,,,20,0,20,0
124155,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,549B,1,THS,18,,,1,,,,UBC,,,,10,0,10,0
124158,2018W,TPC ANML WELFARE, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,550,1,SEM,3,,APBI 315.,1,MW,,,UBC,,,,10,0,10,0
124161,2018W,DOCTORAL DISSERT, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AANB,649,1,THS,0,,,1,,,,UBC,,,,18,2,18,0
124164,2018W,ASN CDN POP CULT,"Popular culture's role in the production of Asian Canadian and diasporic communities, with emphasis on race, gender, sexuality, and other identity categories.",FACULTY OF ARTS                                   ,ACAM,250,1,LEC,3,,,1,TR,12:30 PM,2:00 PM,UBC,IBLC,261,"CATUNGAL, JOHN PAUL",31,59,31,0
124168,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,63A,DEC,3,,,1,,,,UBC,,,"PALACIOS, CAROLINA",3,33,4,-1
124169,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,63B,DEC,3,,,1,,,,UBC,,,"SMULDERS, DAVE",3,33,3,0
124170,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,63C,DEC,3,,,1,,,,UBC,,,"PIOTROWSKI, MARCELINA",6,30,6,0
124171,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,63D,DEC,3,,,1,,,,UBC,,,"REGMI, KAPIL",1,35,1,0
124176,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,W3A,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124177,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,W3B,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124178,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,W3C,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124179,2018W,TEACH ADULT,"Planning, conducting and evaluating instruction for adults.  Consideration is given to different beliefs and ways of thinking about teaching.",FACULTY OF EDUCATION                              ,ADHE,327,W3D,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124184,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,63A,DEC,3,,,1,,,,UBC,,,"REGMI, KAPIL",4,32,4,0
124185,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,63B,DEC,3,,,1,,,,UBC,,,"ELFERT, MAREN",4,32,4,0
124186,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,63C,DEC,3,,,1,,,,UBC,,,"REGMI, KAPIL",2,34,3,-1
124187,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,63D,DEC,3,,,1,,,,UBC,,,"CHAN, JENNIFER",2,34,2,0
124192,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,W3A,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124193,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,W3B,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124194,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,W3C,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124195,2018W,INST ADUL EDUC,"The history, roles, and activities of institutions in the field of adult education.  Institutions in Canada, Great Britain, and the United States are emphasized, and some experiences in other countries are examined.",FACULTY OF EDUCATION                              ,ADHE,328,W3D,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124201,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,63A,DEC,3,,,1,,,,UBC,,,"REGMI, KAPIL",1,35,1,0
124202,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,63B,DEC,3,,,1,,,,UBC,,,"BISHUNDAYAL, DEONARINE",15,21,15,0
124203,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,63C,DEC,3,,,1,,,,UBC,,,"SMULDERS, DAVE",2,34,4,-2
124204,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,63D,DEC,3,,,1,,,,UBC,,,"AIJAZI, OMER",1,35,2,-1
124209,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,W3A,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124210,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,W3B,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124211,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,W3C,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124212,2018W,DEV WKSHP/SEM,"Organization and administration of adult education events such as short courses, seminars, workshops, conferences and institutes.",FACULTY OF EDUCATION                              ,ADHE,329,W3D,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124218,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,63A,DEC,3,,,1,,,,UBC,,,"BISHUNDAYAL, DEONARINE",6,30,6,0
124219,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,63B,DEC,3,,,1,,,,UBC,,,"BISHUNDAYAL, DEONARINE",5,31,5,0
124220,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,63C,DEC,3,,,1,,,,UBC,,,"BISHUNDAYAL, DEONARINE",7,29,7,0
124221,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,63D,DEC,3,,,1,,,,UBC,,,"OPINI, BATHSEBA",3,33,3,0
124226,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,W3A,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124227,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,W3B,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124228,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,W3C,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124229,2018W,COM ADULT EDUC,"Community based adult education with particular emphasis on the application of knowledge of the social, economic, cultural and political environment in developing and conducting adult education programs with an for individuals and groups.",FACULTY OF EDUCATION                              ,ADHE,330,W3D,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124234,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,63A,DEC,3,,,1,,,,UBC,,,"PALACIOS, CAROLINA",6,30,5,1
124235,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,63B,DEC,3,,,1,,,,UBC,,,"PALACIOS, CAROLINA",5,31,5,0
124236,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,63C,DEC,3,,,1,,,,UBC,,,"AIJAZI, OMER",1,35,0,1
124237,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,63D,DEC,3,,,1,,,,UBC,,,"SMULDERS, DAVE",2,34,3,-1
124242,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,W3A,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124243,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,W3B,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124244,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,W3C,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124245,2018W,ADUL EDUC,"Survey of adult education theory and practice in Canada and the world. The focus is on the purpose and participation in, adult education, characteristics of learners, and the training of adult educators.",FACULTY OF EDUCATION                              ,ADHE,412,W3D,W-L,3,,,1,,,,UBC,,,,12,0,12,0
124250,2018W,INTRO AFRI STUDY,"Cultural, historical, and geographical issues of African Studies.",FACULTY OF ARTS                                   ,AFST,250A,1,LEC,3,,,1,TR,12:30 PM,2:00 PM,UBC,DMP,301,"GBOLONYO, JUSTICE",14,66,14,0
124252,2018W,INTRO AFRI STUDY,"Cultural, historical, and geographical issues of African Studies.",FACULTY OF ARTS                                   ,AFST,250A,W01,W-L,3,,,1,TR,,,UBC,,,,10,0,10,0
124254,2018W,PRSPCTV: LIT&THR,Major issues and theoretical approaches.,FACULTY OF ARTS                                   ,AFST,351A,1,LEC,3,,AFST 250.,1,TR,11:00 AM,12:30 PM,UBC,ANSO,207,"DINAT, DEENA",17,28,17,0
124257,2018W,DIRECTED STUDIES, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AGEC,530B,1,DST,3,,,1,,,,UBC,,,,8,2,8,0
124260,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,AGEC,549,2,THS,12,,,1,,,,UBC,,,,15,0,15,0
124262,2018W,GROSS ANAT LIMBS,Lectures and laboratory sessions on the human gross and functional anatomy of the limbs and trunk. The course includes the study of predissected specimens. For credit only in the Department of Physical Therapy.,FACULTY OF MEDICINE                               ,ANAT,392,1,L-L,4,,,1,TR,10:00 AM,12:00 PM,UBC,,,"ALIMOHAMMADI, MAJID",2,78,2,0
124263,2018W,GROSS ANAT LIMBS,Lectures and laboratory sessions on the human gross and functional anatomy of the limbs and trunk. The course includes the study of predissected specimens. For credit only in the Department of Physical Therapy.,FACULTY OF MEDICINE                               ,ANAT,392,1,L-L,4,,,1,TR,8:00 AM,9:30 AM,UBC,LSC,1003,"ALIMOHAMMADI, MAJID",2,78,2,0
124266,2018W,DIRECTED STUDIES,Permission of the Head and supervisor required.,FACULTY OF MEDICINE                               ,ANAT,448K,3,DST,3,,,1,,,,UBC,,,"ROSKELLEY, CALVIN",10,0,10,0
124272,2018W,FND BDY DSGN:BSC, ,FACULTY OF MEDICINE                               ,ANAT,511,1,L-L,3,,,1,,,,UBC,,,"KREBS, CLAUDIA",10,0,10,0
124273,2018W,FNC HMN ANT H&N , ,FACULTY OF MEDICINE                               ,ANAT,512,1,LBS,3,,,1,,,,UBC,,,"KREBS, CLAUDIA",10,0,10,0
124275,2018W,FNC HMN ANT RC&G, ,FACULTY OF MEDICINE                               ,ANAT,513,1,LBS,3,,,1,,,,UBC,,,"KREBS, CLAUDIA",10,0,10,0
124277,2018W,FNC HMN ANT URO , ,FACULTY OF MEDICINE                               ,ANAT,514,1,LBS,3,,,1,,,,UBC,,,"KREBS, CLAUDIA",10,0,10,0
124279,2018W,FNC HMN ANT MUSC, ,FACULTY OF MEDICINE                               ,ANAT,515,1,LBS,3,,,1,,,,UBC,,,"KREBS, CLAUDIA",10,0,10,0
124281,2018W,FNC HMN ANT MUSC, ,FACULTY OF MEDICINE                               ,ANAT,515,3,LBS,3,,,1,,,,UBC,,,"KREBS, CLAUDIA",5,0,5,0
124282,2018W,FNC HMN NEUR:CNS, ,FACULTY OF MEDICINE                               ,ANAT,516,1,LBS,3,,,1,WR,2:00 PM,4:00 PM,UBC,,,"VIAU, VICTOR",11,19,11,0
124283,2018W,FNC HMN MCRO:ANT, ,FACULTY OF MEDICINE                               ,ANAT,517,1,LBS,3,,,1,,,,UBC,,,"PINDER, KAREN",10,0,10,0
124284,2018W,MUSCLE BIOPHYSCS,Selected topics in muscle contraction at an advanced level Permission of Head required.,FACULTY OF MEDICINE                               ,ANAT,527,1,LEC,3,,,1,,,,UBC,,,"BRESSLER, BERNARD; SEOW, CHUN YONG",20,0,20,0
124285,2018W,DIRECTED STUDIES, ,FACULTY OF MEDICINE                               ,ANAT,548A,1,DST,2,,,1,,,,UBC,,,,20,0,20,0
124288,2018W,DIRECTED STUDIES, ,FACULTY OF MEDICINE                               ,ANAT,548B,4,DST,3,,,1,,,,UBC,,,,10,0,10,0
124290,2018W,DIRECTED STUDIES, ,FACULTY OF MEDICINE                               ,ANAT,548C,6,DST,4,,,1,,,,UBC,,,,10,0,10,0
124293,2018W,MSC THESIS, ,FACULTY OF MEDICINE                               ,ANAT,549,2,THS,12,,,1,,,,UBC,,,,10,0,10,0
124298,2018W,DOC DISSERTATION, ,FACULTY OF MEDICINE                               ,ANAT,649,2,THS,0,,,1,,,,UBC,,,,10,0,10,0
124300,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,ANSC,549A,1,THS,12,,,1,,,,UBC,,,,0,0,0,0
124303,2018W,MASTERS THESIS, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,ANSC,549B,1,THS,18,,,1,,,,UBC,,,,0,0,0,0
124306,2018W,DOC DISSERTATION, ,FACULTY OF LAND AND FOOD SYSTEMS                  ,ANSC,649,1,THS,0,,,1,,,,UBC,,,,0,0,0,0
124315,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,3,LEC,3,,,1,MW,10:00 AM,11:00 AM,UBC,AUDI,200,"DAVIS, WADE",46,304,46,0
124317,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,5,LEC,3,,,1,MW,9:00 AM,10:00 AM,UBC,BUCH,A103,"WAINER, RAFAEL",19,111,19,0
124322,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3A,DIS,3,,,1,F,9:00 AM,10:00 AM,UBC,BUCH,B209,"DAVIS, WADE",4,33,4,0
124323,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3B,DIS,3,,,1,F,10:00 AM,11:00 AM,UBC,BUCH,B304,"DAVIS, WADE",-3,30,-3,0
124324,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3C,DIS,3,,,1,F,11:00 AM,12:00 PM,UBC,ANSO,203,"DAVIS, WADE",-1,28,-1,0
124325,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3D,DIS,3,,,1,F,12:00 PM,1:00 PM,UBC,ANSO,203,"DAVIS, WADE",6,27,6,0
124326,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3E,DIS,3,,,1,F,1:00 PM,2:00 PM,UBC,ANSO,203,"DAVIS, WADE",8,25,8,0
124327,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3F,DIS,3,,,1,F,2:00 PM,3:00 PM,UBC,ANSO,141,"DAVIS, WADE",27,0,27,0
124328,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3G,DIS,3,,,1,F,3:00 PM,4:00 PM,UBC,ANSO,203,"DAVIS, WADE",8,25,8,0
124329,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3H,DIS,3,,,1,F,9:00 AM,10:00 AM,UBC,IBLC,155,"DAVIS, WADE",0,27,0,0
124330,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3I,DIS,3,,,1,F,12:00 PM,1:00 PM,UBC,ANSO,205,"DAVIS, WADE",2,35,2,0
124331,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3K,DIS,3,,,1,F,2:00 PM,3:00 PM,UBC,LASR,102,"DAVIS, WADE",43,37,43,0
124332,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D3M,DIS,3,,,1,F,10:00 AM,11:00 AM,UBC,IBLC,155,"DAVIS, WADE",-2,35,-2,0
124340,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D5A,DIS,3,,,1,F,9:00 AM,10:00 AM,UBC,ANSO,203,"WAINER, RAFAEL",2,28,2,0
124341,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D5B,DIS,3,,,1,F,10:00 AM,11:00 AM,UBC,ANSO,134,"WAINER, RAFAEL",9,31,9,0
124342,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D5C,DIS,3,,,1,F,11:00 AM,12:00 PM,UBC,ANSO,134,"WAINER, RAFAEL",8,32,8,0
124343,2018W,INTRO CULT ANTH,"Basic concepts and methods of anthropology; culture and race; comparative study of social systems, religion, symbolism, art, and other institutions. Examples are drawn from a variety of cultures.",FACULTY OF ARTS                                   ,ANTH,100A,D5D,DIS,3,,,1,F,1:00 PM,2:00 PM,UBC,ANSO,134,"WAINER, RAFAEL",21,19,21,0
124349,2018W,ANTH DRUG,"Illicit and/or licit drugs through historical, political, cultural and societal examples. ",FACULTY OF ARTS                                   ,ANTH,203,1,LEC,3,,,1,TR,3:30 PM,5:00 PM,UBC,BUCH,A201,"MUEHLMANN, SHAYLIH",28,122,28,0
124352,2018W,WITC VAMP ZOMB,Anthropological approaches to supernatural beliefs in both traditional and contemporary societies.,FACULTY OF ARTS                                   ,ANTH,206,1,LEC,3,,,1,TR,9:30 AM,11:00 AM,UBC,GEOG,100,"MAGLIOCCO, SABINA",30,120,30,0
124353,2018W,EATING CULTURE,"An anthropological exploration of how the collection, cultivation and consumption of food shapes human society and culture.",FACULTY OF ARTS                                   ,ANTH,210,1,LEC,3,,,1,TR,2:00 PM,3:30 PM,UBC,SWNG,221,"FESSENDEN, SARAH",28,132,28,0
124355,2018W,SEX GNDR CULTURE,An anthropological exploration of how understandings of sex and gender are culturally and historically shaped.,FACULTY OF ARTS                                   ,ANTH,213,1,LEC,3,,,1,TR,9:30 AM,11:00 AM,UBC,SWNG,121,"BLACKBURN, CAROLE",49,101,49,0
124357,2018W,CULTURE & COMMNC,"The study of communication; the relation between communication and its cultural context with emphasis on verbal and non-verbal communication, cross-cultural communication, and cultural differences in the use of oral, literate, and electronic media.",FACULTY OF ARTS                                   ,ANTH,217,1,LEC,3,,,1,MWF,1:00 PM,2:00 PM,UBC,LSK,460,"SHIVA, AMIRPOUYAN",22,53,22,0
124359,2018W,FIRST NATIONS BC,"The cultures, languages, and resources of First Nations, with anthropological perspectives on colonization and development.",FACULTY OF ARTS                                   ,ANTH,220,1,LEC,3,,,1,TR,5:00 PM,6:30 PM,UBC,GEOG,100,"MENZIES, CHARLES",45,105,45,0
124363,2018W,INTRO MUSEOLOGY,The critical study of anthropology museums as social institutions and material culture research and classification from the late 19th century to the present day.,FACULTY OF ARTS                                   ,ANTH,241,1,LEC,3,,,1,M,3:00 PM,4:30 PM,UBC,ORCH,1001,"GORDON-WALKER, CAITLIN",47,25,47,0
124364,2018W,INTRO MUSEOLOGY,The critical study of anthropology museums as social institutions and material culture research and classification from the late 19th century to the present day.,FACULTY OF ARTS                                   ,ANTH,241,1,LEC,3,,,1,W,3:00 PM,4:30 PM,UBC,ORCH,4074,"GORDON-WALKER, CAITLIN",47,25,47,0
124371,2018W,CONTMP ANTH THRY,Contemporary approaches to society and culture in anthropology. ,FACULTY OF ARTS                                   ,ANTH,300A,1,LEC,3,,,1,TR,2:00 PM,3:30 PM,UBC,DMP,301,"VIVALDI PASQUA, ANA",2,48,2,0
124376,2018W,ETHNGRPHY KOREA,"An exploration of ethnographic, topical, and theoretical issues.",FACULTY OF ARTS                                   ,ANTH,307A,1,LEC,3,,,1,TR,9:30 AM,11:00 AM,UBC,UCLL,103,"CREIGHTON, MILLIE",3,42,3,0
124380,2018W,JAPN CUL&SOCIETY,"Japanese culture and society: patterns of organization, value systems, family, education, work, minorities and diversity, harmony and conflict, urban/rural differences, gender, sexuality, youth, tradition, continuity, change, and future prospects.",FACULTY OF ARTS                                   ,ANTH,315,2,LEC,3,,,1,TR,3:30 PM,5:00 PM,UBC,ALRD,121,"CREIGHTON, MILLIE",4,46,4,0
124383,2018W,CONT 1ST NAT ISS,"Anthropological perspectives on contemporary issues of public policy, law, and political activity, as they affect the place of First Nations people in British Columbia and Canada.",FACULTY OF ARTS                                   ,ANTH,329A,100,SEM,3,,,1,W,4:00 PM,7:00 PM,UBC,GEOG,212,"MENZIES, CHARLES",1,49,1,0
124385,2018W,ART&ANTHROPOLOGY,"Anthropological perspectives on art, aesthetics, and expressive culture. ",FACULTY OF ARTS                                   ,ANTH,331A,2,LEC,3,,,1,TR,2:00 PM,3:30 PM,UBC,MCML,158,"LEVELL, NICOLA",6,44,6,0
124394,2018W,HISTORY OF ANTH,The development of anthropological theory and practice in institutional contexts.,FACULTY OF ARTS                                   ,ANTH,400A,5,LEC,3,ANTH300 ,,1,TR,2:00 PM,3:30 PM,UBC,GEOG,214,"MILLER, BRUCE",9,33,9,0
124395,2018W,ETHNO CIRC NORTH,"An examination of relationships between indigenous people and nation states in Greenland, Canada, Alaska and Siberia, using ethnographic methods.",FACULTY OF ARTS                                   ,ANTH,404,2,SEM,3,,,1,TR,9:30 AM,11:00 AM,UBC,ANSO,205,"MOORE, PATRICK",1,26,1,0
